file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\Sahith\Desktop\java\1\gson-main\gson\src\main\java\com\google\gson\internal\bind\TypeAdapters.java,com.google.gson.internal.bind.TypeAdapters$Anonymous1,anonymous,3,3,0,3,2,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,7,0,0,2,0,0,0,0,0,21,-1,0
C:\Users\Sahith\Desktop\java\1\selenide-main\src\main\java\com\codeborne\selenide\AuthenticationType.java,com.codeborne.selenide.AuthenticationType,enum,3,5,2,3,2,1,0,0,0,0.0,1.0,1.0,2,0,1,0,0,1,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,6,0,1,0,1,0,0,0,0,31,1,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jdbc\howto\schema-generation\src\test\java\example\springdata\jdbc\howto\caching\SchemaGenerationTest.java,example.springdata.jdbc.howto.caching.SchemaGenerationTest,class,13,13,0,13,8,1,0,15,0,0.375,1.0,1.0,4,0,0,0,0,4,4,0,0,0,2,0,0,0,0,2,0,0,4,54,5,0,1,1,2,14,0,7,1,13,2,0,0,3,55,0,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\repo\Customer1152Repository.java,example.repo.Customer1152Repository,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Sahith\Desktop\java\1\heritrix3-master\engine\src\main\java\org\archive\crawler\frontier\precedence\QueuePrecedencePolicy.java,org.archive.crawler.frontier.precedence.QueuePrecedencePolicy,class,1,4,3,1,2,1,1,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,1025,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\repo\Customer558Repository.java,example.repo.Customer558Repository,interface,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\service\Customer1001Service.java,example.service.Customer1001Service,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\deferred\src\main\java\example\service\Customer951Service.java,example.service.Customer951Service,class,2,2,0,2,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
C:\Users\Sahith\Desktop\java\1\jedis-master\src\main\java\redis\clients\jedis\commands\DatabasePipelineCommands.java,redis.clients.jedis.commands.DatabasePipelineCommands,interface,3,4,1,3,11,1,0,0,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,1,0
C:\Users\Sahith\Desktop\java\1\spring-data-examples-main\jpa\eclipselink\src\test\java\example\springdata\jpa\eclipselink\CustomerRepositoryIntegrationTests.java,example.springdata.jpa.eclipselink.CustomerRepositoryIntegrationTests,class,6,6,0,6,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,7,0,0,0,0,0,2,0,1,0,2,0,0,0,0,14,1,0
